Mon May 07 12:40:55 UTC 2018: Skip hudson.util.CopyOnWriteListTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.util.XStream2EncodingTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.util.RunListTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.util.CopyOnWriteMapTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.util.CyclicGraphDetectorTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.util.PackedMapTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.util.XStream2Test
Mon May 07 12:40:55 UTC 2018: Skip hudson.util.DirScannerTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.util.ProcessTreeTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.util.io.ReopenableRotatingFileOutputStreamTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.util.io.TarArchiverTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.util.io.ZipArchiverTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.util.ConsistentHashTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.util.ArgumentListBuilderTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.util.SubClassGeneratorTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.util.QuotedStringTokenizerTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.util.FormValidationTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.util.LineEndNormalizingWriterTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.util.IteratorsTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.UtilTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.cli.handlers.ViewOptionHandlerTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.cli.ListJobsCommandTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.cli.ConnectionTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.cli.ConnectionMockTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.cli.PrivateKeyProviderTest
Mon May 07 12:40:56 UTC 2018: Skip lib.form.RowVisibilityGroupTest
Mon May 07 12:40:56 UTC 2018: Skip lib.form.NameRefTest
Mon May 07 12:40:56 UTC 2018: Skip lib.layout.LayoutTest
Mon May 07 12:40:56 UTC 2018: Skip lib.hudson.ListScmBrowsersTest
Mon May 07 12:40:56 UTC 2018: Skip lib.hudson.ActionsTest
Mon May 07 12:40:56 UTC 2018: Skip org.jvnet.hudson.test.MemoryAssertTest
Mon May 07 12:40:56 UTC 2018: Skip org.jvnet.hudson.test.MockFolderTest
Mon May 07 12:40:56 UTC 2018: Skip org.jvnet.hudson.main.UseRecipesWithJenkinsRuleTest
Mon May 07 12:40:56 UTC 2018: Skip org.jvnet.hudson.main.AppTest
Mon May 07 12:40:56 UTC 2018: Skip jenkins.widgets.BuildListTableTest
Mon May 07 12:40:56 UTC 2018: Skip jenkins.scm.SCMCheckoutStrategyTest
Mon May 07 12:40:56 UTC 2018: Skip jenkins.security.BasicHeaderProcessorTest
Mon May 07 12:40:56 UTC 2018: Skip jenkins.security.SecurityContextExecutorServiceTest
Mon May 07 12:40:56 UTC 2018: Skip jenkins.security.ApiTokenPropertyTest
Mon May 07 12:40:56 UTC 2018: Skip jenkins.security.FrameOptionsPageDecoratorTest
Mon May 07 12:40:56 UTC 2018: Adding test in queue
Mon May 07 12:40:56 UTC 2018: Skip jenkins.security.FilePathSecureTest
Mon May 07 12:40:56 UTC 2018: Skip jenkins.security.DefaultFilePathFilterTest
Mon May 07 12:40:56 UTC 2018: Skip jenkins.tasks.SimpleBuildWrapperTest
Mon May 07 12:40:56 UTC 2018: Skip jenkins.triggers.ReverseBuildTriggerTest
Mon May 07 12:40:56 UTC 2018: Skip jenkins.ExtensionFilterTest
Mon May 07 12:40:56 UTC 2018: Skip jenkins.model.JenkinsReloadConfigurationTest
Mon May 07 12:40:56 UTC 2018: Skip jenkins.model.JenkinsTest
Mon May 07 12:40:56 UTC 2018: Skip jenkins.model.MasterBuildConfigurationTest
Mon May 07 12:40:56 UTC 2018: Skip jenkins.model.ContextMenuTest
Mon May 07 12:40:56 UTC 2018: Skip jenkins.model.lazy.LazyBuildMixInTest
Mon May 07 12:40:56 UTC 2018: Skip jenkins.model.JenkinsLocationConfigurationTest
Mon May 07 12:40:56 UTC 2018: Skip jenkins.model.ExtensionTypeHierarchyTest
Mon May 07 12:40:56 UTC 2018: Skip jenkins.model.TransientActionFactoryTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.views.ListViewColumnTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.slaves.JNLPLauncherTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.slaves.NodeProvisionerTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.UDPBroadcastThreadTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.scm.ScmTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.scm.ChangeLogSetTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.ExtensionListTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.security.PermissionGroupTest
Mon May 07 12:40:56 UTC 2018: Adding test in queue
Mon May 07 12:40:56 UTC 2018: Skip hudson.security.HudsonPrivateSecurityRealmTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.security.csrf.DefaultCrumbIssuerTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.security.CliAuthenticationTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.security.LoginTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.security.ExtendedReadPermissionTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.PluginTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.tasks.ShellTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.tasks.MavenTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.tasks.LogRotatorTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.tasks.ArtifactArchiverTest
Mon May 07 12:40:56 UTC 2018: Adding test in queue
Mon May 07 12:40:56 UTC 2018: Skip hudson.tasks.BatchFileTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.tasks.UserAvatarResolverTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.tasks.FingerprinterTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.triggers.SCMTriggerTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.triggers.TriggerStartTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.ProcTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.model.ComputerSetTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.model.LabelLoadStatisticsQueueLengthTest
Mon May 07 12:40:56 UTC 2018: Adding test in queue
Mon May 07 12:40:56 UTC 2018: Skip hudson.model.UserTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.model.DescriptorTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.model.AsynchPeopleTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.model.ViewJobTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.model.MyViewTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.model.AutoCompletionCandidatesTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.model.ParametersTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.model.CauseTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.model.AbortedFreeStyleBuildTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.model.DirectlyModifiableViewTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.model.ExecutorTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.model.UpdateCenter2Test
Mon May 07 12:40:56 UTC 2018: Skip hudson.model.ViewPropertyTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.model.UpdateCenterTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.model.PasswordParameterDefinitionTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.model.SimpleJobTest
Mon May 07 12:40:56 UTC 2018: Skip hudson.model.labels.LabelAtomPropertyTest
