Projects with links
type	projects
AST	256
BYTE	711



Duplicate projects
type	count(*)
ALL	157



Links
project	type	link	amount
bharath12b5__jenkins1	BYTE	No link	43
bhuvi3__stajistics	AST	No link	224
bhuvi3__stajistics	BYTE	No link	2
bhuvi3__stajistics	AST	Link	111
bishabosha__akka-playground	AST	No link	5
bishabosha__akka-playground	BYTE	No link	5
BITPlan__com.bitplan.simplegraph	AST	No link	72
BITPlan__com.bitplan.simplegraph	AST	Link	3
BITPlan__com.bitplan.simpleres	AST	No link	4
BITPlan__com.bitplan.simpleres	BYTE	No link	4
BITPlan__com.bitplan.simpleres	AST	Link	1
BITPlan__com.bitplan.simpleres	BYTE	Link	1
BizDemo__openmrs	AST	No link	231
BizDemo__openmrs	BYTE	No link	10
BizDemo__openmrs	AST	Link	401
BizDemo__openmrs	BYTE	Link	4
bizteco0__webcam-capture	AST	No link	15
bizteco0__webcam-capture	AST	Link	10
bkfly2000__ohth	AST	No link	55
bkfly2000__ohth	BYTE	No link	23
bkfly2000__ohth	AST	Link	2
blackcathacker__kc.preclean	AST	No link	410
blackcathacker__kc.preclean	BYTE	No link	395
blackcathacker__kc.preclean	AST	Link	159
blackcathacker__kc.preclean	BYTE	Link	174
blaxxxy__cipango	AST	No link	2
blaxxxy__cipango	BYTE	No link	2
blrB__StudentServletOAuth	AST	No link	10
blrB__StudentServletOAuth	BYTE	No link	5
blrB__StudentServletOAuth	AST	Link	16
blrB__StudentServletOAuth	BYTE	Link	14
blurpy__koucha	AST	No link	426
blurpy__koucha	BYTE	No link	373
blurpy__koucha	AST	Link	480
blurpy__koucha	BYTE	Link	533
bowlingmar__Apromore	AST	No link	10
bowlingmar__Apromore	BYTE	No link	10
BP2014W1__JEngine	AST	No link	19
BP2014W1__JEngine	BYTE	No link	19
BP2014W1__JEngine	AST	Link	4
BP2014W1__JEngine	BYTE	Link	4
bpdavis-scratch__cipango	AST	No link	2
bpdavis-scratch__cipango	BYTE	No link	2
brettwooldridge__HikariCP	AST	No link	113
brettwooldridge__HikariCP	BYTE	No link	109
brettwooldridge__HikariCP	AST	Link	18
brettwooldridge__HikariCP	BYTE	Link	22
britzke__rennspur	AST	No link	5
britzke__rennspur	BYTE	No link	5
britzke__rennspur	AST	Link	18
britzke__rennspur	BYTE	Link	18
bruce-sha__sa-motan	AST	No link	80
bruce-sha__sa-motan	AST	Link	10
bruce-sha__sa-netty	AST	No link	226
bruce-sha__sa-netty	BYTE	No link	3
bruce-sha__sa-netty	AST	Link	41
bruce-sha__sa-netty	BYTE	Link	21
bruce-sz-cn__openmrs_cn	AST	No link	427
bruce-sz-cn__openmrs_cn	AST	Link	286
bryceisphy__hbase-code-analysis	AST	No link	1576
bryceisphy__hbase-code-analysis	BYTE	No link	661
bryceisphy__hbase-code-analysis	AST	Link	94
bryceisphy__hbase-code-analysis	BYTE	Link	42
bsc-euroserver__demiurge-vmmanager	AST	No link	16
bsc-euroserver__demiurge-vmmanager	BYTE	No link	16
bsc-euroserver__demiurge-vmmanager	AST	Link	15
bsc-euroserver__demiurge-vmmanager	BYTE	Link	15
btisystems__snmp-core	AST	No link	65
btisystems__snmp-core	BYTE	No link	63
btisystems__snmp-core	AST	Link	44
btisystems__snmp-core	BYTE	Link	46
btoddb__fast-persistent-queue	AST	No link	22
btoddb__fast-persistent-queue	BYTE	No link	21
btoddb__fast-persistent-queue	AST	Link	6
btoddb__fast-persistent-queue	BYTE	Link	7
bunjik__log4jdbcex	AST	No link	81
bunjik__log4jdbcex	BYTE	No link	32
bunjik__log4jdbcex	AST	Link	16
bunjik__log4jdbcex	BYTE	Link	54
busche__Matrix	AST	No link	5
busche__Matrix	BYTE	No link	5
busche__Matrix	AST	Link	3
busche__Matrix	BYTE	Link	3
CAG11NUser1__TestProject1	AST	No link	30
CAG11NUser1__TestProject1	BYTE	No link	43
CAG11NUser__TestProjec	AST	No link	15
CAG11NUser__TestProjec	BYTE	No link	30
Cagiri__HazelcastSource	AST	No link	5262
