Projects with links
type	projects
AST	256
BYTE	711



Duplicate projects
type	count(*)
ALL	157



Links
project	type	link	amount
krotscheck__data-file-reader	BYTE	No link	90
krotscheck__data-file-reader	AST	Link	8
krotscheck__data-file-reader	BYTE	Link	21
krotscheck__jersey2-toolk	AST	No link	7
krotscheck__jersey2-toolk	BYTE	No link	7
krotscheck__jersey2-toolk	AST	Link	2
krotscheck__jersey2-toolk	BYTE	Link	2
Krudler__TheProjec	AST	No link	208
Krudler__TheProjec	BYTE	No link	154
Krudler__TheProjec	AST	Link	19
Krudler__TheProjec	BYTE	Link	78
kstateome__lti-attendance	AST	No link	17
kstateome__lti-attendance	AST	Link	52
ktan2020__jenkins-1.507	AST	No link	43
ktan2020__jenkins-1.507	BYTE	No link	39
ktan2020__jenkins-1.507	AST	Link	1
ktan2020__jenkins-1.507	BYTE	Link	8
KualiCo__rice	AST	No link	14
KualiCo__rice	BYTE	No link	14
KualiCo__rice	AST	Link	41
KualiCo__rice	BYTE	Link	41
kuali__rice	AST	Link	4
kuali__rice	BYTE	Link	4
kuangye098__motan	AST	Link	2
kuangye098__motan	BYTE	Link	6
kukulkan-project__kukulkan-shell	AST	No link	3
kukulkan-project__kukulkan-shell	BYTE	No link	3
kvovo__kvovo	AST	No link	173
kvovo__kvovo	AST	Link	89
lafaspot__JsonPath	AST	No link	511
lafaspot__JsonPath	BYTE	No link	430
lafaspot__JsonPath	AST	Link	48
lafaspot__JsonPath	BYTE	Link	129
laidaniel__OpenMRS	AST	No link	104
laidaniel__OpenMRS	BYTE	No link	3
laidaniel__OpenMRS	BYTE	Link	22
lakodali__osc-core	AST	No link	11
lakodali__osc-core	BYTE	No link	6
lakodali__osc-core	BYTE	Link	5
laltralt__ActiveMQ	AST	No link	53
laltralt__ActiveMQ	BYTE	No link	70
laltralt__ActiveMQ	AST	Link	28
laltralt__ActiveMQ	BYTE	Link	31
lambico__lambico	AST	Link	18
lambico__lambico	BYTE	Link	18
larubbio__platform-campaigns	AST	No link	203
larubbio__platform-campaigns	BYTE	No link	201
larubbio__platform-campaigns	AST	Link	35
larubbio__platform-campaigns	BYTE	Link	37
larusba__neo4j-jdbc	AST	No link	336
larusba__neo4j-jdbc	BYTE	No link	324
larusba__neo4j-jdbc	AST	Link	75
larusba__neo4j-jdbc	BYTE	Link	87
LavanyaUmapathi__Exp	AST	No link	110
LavanyaUmapathi__Exp	BYTE	No link	108
LavanyaUmapathi__Exp	AST	Link	22
LavanyaUmapathi__Exp	BYTE	Link	24
Lechu67__TicTacToeGame	AST	No link	23
Lechu67__TicTacToeGame	BYTE	No link	23
Lechu67__TicTacToeGame	AST	Link	1
Lechu67__TicTacToeGame	BYTE	Link	1
leechoongyon__HadoopSourceAnalyze	AST	No link	81
leechoongyon__HadoopSourceAnalyze	BYTE	No link	81
leechoongyon__HadoopSourceAnalyze	AST	Link	11
leechoongyon__HadoopSourceAnalyze	BYTE	Link	11
leewake__hello-world	AST	No link	1
leewake__hello-world	BYTE	No link	1
lenhattan86__Flink	AST	No link	69
lenhattan86__Flink	BYTE	No link	312
lenhattan86__Flink	AST	Link	8
lenhattan86__Flink	BYTE	Link	87
leoly521__leo	AST	Link	1
leoly521__leo	BYTE	Link	1
lexicalscope__jewelcl	AST	No link	33
lexicalscope__jewelcl	BYTE	No link	33
lexicalscope__storyboard	AST	No link	6
lexicalscope__storyboard	BYTE	No link	8
lexicalscope__storyboard	AST	Link	2
li-xl__OpenNMS	AST	No link	372
li-xl__OpenNMS	BYTE	No link	132
li-xl__OpenNMS	AST	Link	52
li-xl__OpenNMS	BYTE	Link	20
liangbangke__CloudStack	AST	No link	34
liangbangke__CloudStack	BYTE	No link	34
liaozhongqiang__my	AST	No link	10
liaozhongqiang__my	BYTE	No link	10
LibreHealthIO__lh-toolk	AST	No link	103
linkedin__sense	AST	No link	36
linkedin__sense	BYTE	No link	36
linsolas__casperjs-runner-maven-plugin	AST	No link	35
linsolas__casperjs-runner-maven-plugin	BYTE	No link	22
linsolas__casperjs-runner-maven-plugin	AST	Link	1
linsolas__casperjs-runner-maven-plugin	BYTE	Link	14
lmco__streamflow	AST	No link	26
lmco__streamflow	BYTE	No link	24
lmco__streamflow	AST	Link	9
lmco__streamflow	BYTE	Link	11
LMiljak__ContextMigi-1	AST	No link	38
LMiljak__ContextMigi-1	BYTE	No link	143
LMiljak__ContextMigi-1	AST	Link	118
LMiljak__ContextMigi-1	BYTE	Link	13
lmjacksoniii__hazelcas	AST	No link	472
lmjacksoniii__hazelcas	BYTE	No link	1663
lmjacksoniii__hazelcas	AST	Link	33
lmjacksoniii__hazelcas	BYTE	Link	143
lodsve__lodsve-framework	AST	No link	16
lodsve__lodsve-framework	BYTE	No link	13
lodsve__lodsve-framework	AST	Link	15
lodsve__lodsve-framework	BYTE	Link	18
logstash__logstash-logback-encoder	AST	No link	126
logstash__logstash-logback-encoder	BYTE	No link	125
logstash__logstash-logback-encoder	AST	Link	11
logstash__logstash-logback-encoder	BYTE	Link	12
lookout__commons-compress	AST	No link	23
lookout__commons-compress	BYTE	No link	423
lookout__commons-compress	AST	Link	1
lookout__commons-compress	BYTE	Link	108
lptr__stajistics	AST	No link	4
lptr__stajistics	BYTE	No link	160
lptr__stajistics	AST	Link	3
lptr__stajistics	BYTE	Link	180
luiscoronel__JUnit2	AST	No link	23
luiscoronel__JUnit2	BYTE	No link	23
luobosi-marvel__shiro	AST	No link	8
luobosi-marvel__shiro	BYTE	No link	9
luobosi-marvel__shiro	AST	Link	1
luobosi-marvel__shiro	BYTE	Link	1
luohongjunnn__jstorm	AST	No link	1
Lyoneidas__CardDeck	AST	No link	7
Lyoneidas__CardDeck	BYTE	No link	3
Lyoneidas__CardDeck	BYTE	Link	4
m-giltri__lab2_3	AST	No link	18
m-giltri__lab2_3	BYTE	No link	18
m-giltri__lab2_3	AST	Link	2
m-giltri__lab2_3	BYTE	Link	2
M0rfic__Etaron	AST	Link	1
M0rfic__Etaron	BYTE	Link	1
m33tyourmast3r__gemin	AST	Link	2
m33tyourmast3r__gemin	BYTE	Link	2
mabrek__jetty	AST	No link	176
mabrek__jetty	BYTE	No link	174
mabrek__jetty	AST	Link	72
mabrek__jetty	BYTE	Link	74
macalinao__ModTheModAPI	AST	No link	1
macalinao__ModTheModAPI	BYTE	Link	1
macfol__Kamienica	AST	No link	2
macfol__Kamienica	BYTE	No link	2
maduhu__HDP-atlas	AST	No link	35
maduhu__HDP-atlas	BYTE	No link	35
maduhu__HDP-atlas	AST	Link	2
maduhu__HDP-atlas	BYTE	Link	2
mahamuniraviraj__parancoe	AST	No link	8
mahevpm__Mahendran_Jenkins	AST	No link	14
mahevpm__Mahendran_Jenkins	BYTE	No link	30
mailursubbu__CalixSoapAxiom	AST	No link	296
mailursubbu__CalixSoapAxiom	BYTE	No link	299
mailursubbu__CalixSoapAxiom	AST	Link	1
mailursubbu__CalixSoapAxiom	BYTE	Link	5
manar-amri__spark	AST	No link	5
manar-amri__spark	BYTE	No link	2
manar-amri__spark	AST	Link	23
manar-amri__spark	BYTE	Link	35
mangobin__SSNOC	AST	No link	88
mangobin__SSNOC	BYTE	No link	84
mangobin__SSNOC	AST	Link	14
mangobin__SSNOC	BYTE	Link	18
ManjueGov__API-Automation-Karate	BYTE	No link	2
manodj__kerb	AST	No link	307
manodj__kerb	BYTE	No link	2246
manodj__kerb	AST	Link	76
manodj__kerb	BYTE	Link	255
maotao945__jaxmpp2-mirror	AST	No link	33
maotao945__jaxmpp2-mirror	BYTE	No link	33
maotao945__jaxmpp2-mirror	AST	Link	10
maotao945__jaxmpp2-mirror	BYTE	Link	10
marcandreuf__ToolBox	AST	No link	59
marcandreuf__ToolBox	BYTE	No link	56
marcandreuf__ToolBox	AST	Link	20
marcandreuf__ToolBox	BYTE	Link	23
marcelosrodrigues__com.pmrodrigues	AST	No link	19
marcelosrodrigues__com.pmrodrigues	BYTE	No link	19
marcelosrodrigues__com.pmrodrigues	AST	Link	29
marcelosrodrigues__com.pmrodrigues	BYTE	Link	29
marcingrzejszczak__mockito-instan	AST	No link	7
marcingrzejszczak__mockito-instan	BYTE	No link	7
mario-s__nb-bamboo-plugin	AST	No link	81
mario-s__nb-bamboo-plugin	AST	Link	150
mariusz89016__old-flink	AST	No link	204
mariusz89016__old-flink	BYTE	No link	218
mariusz89016__old-flink	AST	Link	19
mariusz89016__old-flink	BYTE	Link	29
markiewb__nb-additional-hints	AST	No link	232
markiewb__nb-additional-hints	BYTE	No link	232
marshalldewitt__activemq	AST	No link	1
marshalldewitt__activemq	BYTE	No link	1
mathiaspet__flink-python-ifof-pr	AST	No link	495
mathiaspet__flink-python-ifof-pr	BYTE	No link	556
mathiaspet__flink-python-ifof-pr	AST	Link	35
mathiaspet__flink-python-ifof-pr	BYTE	Link	34
mathiaspet__gms	AST	No link	414
mathiaspet__gms	BYTE	No link	401
mathiaspet__gms	AST	Link	61
mathiaspet__gms	BYTE	Link	70
mathiaspet__pyflink	AST	No link	5
mathiaspet__pyflink	BYTE	No link	25
mathiaspet__pyflink	BYTE	Link	2
matijavizintin__jboss-as-7.1.4.Custom	AST	No link	33
matijavizintin__jboss-as-7.1.4.Custom	BYTE	No link	30
matijavizintin__jboss-as-7.1.4.Custom	AST	Link	2
matijavizintin__jboss-as-7.1.4.Custom	BYTE	Link	5
matiwinnetou__spring-soy-view	AST	No link	61
matiwinnetou__spring-soy-view	BYTE	No link	61
matiwinnetou__spring-soy-view	AST	Link	78
matiwinnetou__spring-soy-view	BYTE	Link	78
MatthijsKok__TI2206-Software-Engineering-Methods	AST	No link	16
MatthijsKok__TI2206-Software-Engineering-Methods	BYTE	No link	16
MatthijsKok__TI2206-Software-Engineering-Methods	AST	Link	11
MatthijsKok__TI2206-Software-Engineering-Methods	BYTE	Link	11
MBEntwicklung__jcrviewer	AST	No link	14
MBEntwicklung__jcrviewer	BYTE	No link	14
mbojoly__copypptxnotes	AST	No link	2
mbojoly__copypptxnotes	BYTE	No link	2
mbojoly__copypptxnotes	AST	Link	6
mbojoly__copypptxnotes	BYTE	Link	6
mckorad__sample1	AST	No link	105
mckorad__sample1	AST	Link	18
mdogan__hazelcast-jet-x	AST	No link	739
mdogan__hazelcast-jet-x	BYTE	No link	739
mdogan__hazelcast-jet-x	AST	Link	39
mdogan__hazelcast-jet-x	BYTE	Link	39
mefozzy__NLP-Cloud	AST	No link	3
mefozzy__NLP-Cloud	BYTE	No link	3
Mehyar77__Gun	AST	No link	23
Mehyar77__Gun	BYTE	No link	23
Mehyar77__NewJun	AST	No link	23
Mehyar77__NewJun	BYTE	No link	23
meiyang1990__activemq	AST	No link	1
meiyang1990__activemq	BYTE	No link	4
mejmo__events4java	AST	No link	4
mejmo__events4java	BYTE	No link	4
mejmo__events4java	AST	Link	3
mejmo__events4java	BYTE	Link	3
melgenek__build_systems	AST	No link	4
melgenek__build_systems	BYTE	No link	4
Melozzola__cockroachdb-dev-tes	AST	Link	2
Melozzola__cockroachdb-dev-tes	BYTE	Link	2
mengzhongguanyu__jun	AST	No link	23
mengzhongguanyu__jun	BYTE	No link	23
meverline__my-transite-dm	AST	No link	153
meverline__my-transite-dm	BYTE	No link	173
meverline__my-transite-dm	AST	Link	21
meverline__my-transite-dm	BYTE	Link	1
mfriesen__cthulhu-dh	AST	No link	65
mfriesen__cthulhu-dh	BYTE	No link	37
mfriesen__cthulhu-dh	AST	Link	96
mfriesen__cthulhu-dh	BYTE	Link	124
michael-drygola__porada-rad	AST	No link	1
michael-drygola__porada-rad	BYTE	No link	1
mikesir87__ETD-Scraper	AST	No link	11
mikesir87__ETD-Scraper	BYTE	No link	11
miladhub__movie-manager-javascrip	AST	No link	1
miladhub__movie-manager-javascrip	BYTE	No link	1
minghzhang007__junit4	AST	No link	23
minghzhang007__junit4	BYTE	No link	23
MirageEarl__activ	AST	No link	23
MissionCriticalCloud__cosmic	AST	No link	34
MissionCriticalCloud__cosmic	BYTE	No link	37
MissionCriticalCloud__cosmic	AST	Link	117
MissionCriticalCloud__cosmic	BYTE	Link	124
misval__akka-quickstart-java	AST	No link	1
misval__akka-quickstart-java	BYTE	No link	1
mjamroz90__Switchyard_IOSR	AST	Link	5
mjamroz90__Switchyard_IOSR	BYTE	Link	5
mjremijan__ferris-prayer	AST	No link	1
mjremijan__ferris-prayer	BYTE	No link	1
mjremijan__ferris-tweial	AST	No link	135
mjremijan__ferris-tweial	BYTE	No link	127
mjremijan__ferris-tweial	AST	Link	72
mjremijan__ferris-tweial	BYTE	Link	79
mkolisnyk__0686OS	AST	No link	1
mkolisnyk__0686OS	BYTE	No link	1
MobiVM__robovm	AST	No link	16
MobiVM__robovm	BYTE	No link	8
MobiVM__robovm	AST	Link	12
MobiVM__robovm	BYTE	Link	20
mojohaus__cassandra-maven-plugin	AST	No link	16
mojohaus__cassandra-maven-plugin	BYTE	No link	16
mojohaus__cassandra-maven-plugin	AST	Link	4
mojohaus__cassandra-maven-plugin	BYTE	Link	4
mojohaus__flatten-maven-plugin	AST	No link	1
monochromata__EyeTrackerAPI	AST	No link	2
monochromata__EyeTrackerAPI	BYTE	No link	2
monochromata__EyeTrackerAPI	AST	Link	3
monochromata__EyeTrackerAPI	BYTE	Link	3
MontiCore__monticore	AST	No link	229
MontiCore__monticore	AST	Link	16
moodyrm__openmrs-practice	AST	No link	103
moodyrm__openmrs-practice	AST	Link	12
moodyrm__openmrs-practice	BYTE	Link	12
motech-implementations__ebodac	AST	No link	50
motech-implementations__ebodac	BYTE	No link	49
motech-implementations__ebodac	AST	Link	13
motech-implementations__ebodac	BYTE	Link	14
motech__GHANA-TELCO	AST	No link	45
motech__GHANA-TELCO	BYTE	No link	41
motech__GHANA-TELCO	AST	Link	33
motech__GHANA-TELCO	BYTE	Link	37
motech__mcts-integration	AST	Link	9
motech__mcts-integration	BYTE	Link	9
motech__modules	AST	No link	695
motech__modules	BYTE	No link	620
motech__modules	AST	Link	231
motech__modules	BYTE	Link	306
motech__motech	AST	No link	721
motech__motech	BYTE	No link	665
motech__motech	AST	Link	212
motech__motech	BYTE	Link	268
motech__motech-server-pillreminder	AST	No link	32
motech__motech-server-pillreminder	BYTE	No link	32
motech__motech-server-pillreminder	AST	Link	5
motech__motech-server-pillreminder	BYTE	Link	5
MrCiao__xScala	AST	No link	32
MrCiao__xScala	BYTE	No link	114
MrCiao__xScala	AST	Link	6
MrCiao__xScala	BYTE	Link	27
MrPii2__atT_j1501	AST	No link	3
MrPii2__atT_j1501	BYTE	No link	1
MrPii2__atT_j1501	BYTE	Link	4
MrPii2__atT_j1550	AST	No link	23
MrPii2__atT_j1550	BYTE	No link	23
MrPii2__atT_j1550	BYTE	Link	2
MrPii2__atT_j1582	AST	No link	11
MrPii2__atT_j1582	BYTE	No link	17
MrPii2__atT_j1582	BYTE	Link	3
MrPii2__atT_j1637	AST	No link	14
MrPii2__atT_j1637	BYTE	No link	30
MrPii2__atT_j1639	AST	No link	14
MrPii2__atT_j1639	BYTE	No link	29
msakamoto-sf__javasnack	AST	No link	4
msakamoto-sf__javasnack	BYTE	No link	4
mssavai__openmrs-module-muzimaforms	AST	No link	57
mssavai__openmrs-module-muzimaforms	BYTE	No link	56
mssavai__openmrs-module-muzimaforms	AST	Link	40
mssavai__openmrs-module-muzimaforms	BYTE	Link	41
msulej__blog-service	AST	No link	3
msulej__blog-service	BYTE	No link	3
msulej__blog-service	AST	Link	35
msulej__blog-service	BYTE	Link	35
mtraining__motech-communications	AST	No link	159
mtraining__motech-communications	BYTE	No link	152
mtraining__motech-communications	AST	Link	43
mtraining__motech-communications	BYTE	Link	50
MuhammadSafwan__Stop-Button-Ability	AST	No link	112
MuhammadSafwan__Stop-Button-Ability	BYTE	No link	8
MuhammadSafwan__Stop-Button-Ability	AST	Link	22
MuhammadSafwan__Stop-Button-Ability	BYTE	Link	5
mulesoft__mule	AST	No link	1049
mulesoft__mule	AST	Link	23
mulesoft__mule-extensions-ap	AST	No link	236
mulesoft__mule-extensions-ap	AST	Link	36
muralibala68__neela	AST	No link	9
muralibala68__neela	BYTE	No link	9
muralibala68__neela	AST	Link	2
muralibala68__neela	BYTE	Link	2
mvpdev__drishti-childcount-bridge	AST	No link	1
mvpdev__drishti-childcount-bridge	BYTE	No link	1
mwws__flink_sor	AST	No link	15
mwws__flink_sor	BYTE	No link	100
mwws__flink_sor	AST	Link	1
mwws__flink_sor	BYTE	Link	9
mxmo0rhuhn__map-reduce	AST	No link	23
mxmo0rhuhn__map-reduce	BYTE	No link	23
mxmo0rhuhn__map-reduce	AST	Link	3
mxmo0rhuhn__map-reduce	BYTE	Link	3
mybatis__mybatis-dynamic-sql	AST	No link	193
mybatis__mybatis-dynamic-sql	AST	Link	50
mydevotion__activemq-5.9	AST	No link	70
mydevotion__activemq-5.9	BYTE	No link	143
mydevotion__activemq-5.9	AST	Link	2
mydevotion__activemq-5.9	BYTE	Link	13
myhongkongzhen__quickstar	AST	No link	1
myhongkongzhen__quickstar	BYTE	No link	1
myunxi__motan	BYTE	No link	1
mzw__VTR	AST	No link	34
mzw__VTR	BYTE	No link	28
mzw__VTR	AST	Link	22
mzw__VTR	BYTE	Link	28
n89sharma__AxisAllies	AST	No link	15
n89sharma__AxisAllies	AST	Link	2
nagireddygit__hudson-master	AST	No link	14
nagireddygit__hudson-master	BYTE	No link	30
naman-aasaan__DruidBase	AST	No link	2155
naman-aasaan__DruidBase	BYTE	No link	2371
naman-aasaan__DruidBase	AST	Link	519
naman-aasaan__DruidBase	BYTE	Link	712
nclarkekb__jwa	AST	No link	153
nclarkekb__jwa	BYTE	No link	151
nclarkekb__jwa	AST	Link	27
nclarkekb__jwa	BYTE	Link	29
nedap__archie	AST	No link	135
nedap__archie	BYTE	No link	127
nedap__archie	AST	Link	26
nedap__archie	BYTE	Link	34
neduard__sepr4bar	AST	No link	79
neduard__sepr4bar	BYTE	No link	70
neduard__sepr4bar	AST	Link	47
neduard__sepr4bar	BYTE	Link	56
Netprophets__JBossAS7.1.1.Final-BugFixes	AST	No link	31
Netprophets__JBossAS7.1.1.Final-BugFixes	BYTE	No link	27
Netprophets__JBossAS7.1.1.Final-BugFixes	AST	Link	1
Netprophets__JBossAS7.1.1.Final-BugFixes	BYTE	Link	5
newshake__netty-source	AST	No link	109
newshake__netty-source	BYTE	No link	150
newshake__netty-source	AST	Link	30
newshake__netty-source	BYTE	Link	42
nikhil1985__jboss	AST	No link	150
nikhil1985__jboss	BYTE	No link	107
nikhil1985__jboss	AST	Link	16
nikhil1985__jboss	BYTE	Link	61
nikitachetia__jenkinsc	AST	No link	27
nikitachetia__jenkinsc	BYTE	No link	44
nikitachetia__jenkinsciLates	AST	No link	27
nikitachetia__jenkinsciLates	BYTE	No link	44
NikitaScherbakov__LibraryJDBC	AST	Link	4
NikitaScherbakov__LibraryJDBC	BYTE	Link	11
nilusi__Legacy-UI	AST	No link	110
nilusi__Legacy-UI	BYTE	No link	1
ningjing1588__onecloud	AST	No link	9
ningjing1588__onecloud	BYTE	No link	19
ninjaframework__ninja	AST	No link	96
ninjaframework__ninja	BYTE	No link	85
ninjaframework__ninja	AST	Link	61
ninjaframework__ninja	BYTE	Link	72
Noany__Resque-Tachyon	AST	No link	28
Noany__Resque-Tachyon	BYTE	No link	27
Noany__Resque-Tachyon	AST	Link	6
Noany__Resque-Tachyon	BYTE	Link	7
NoodlePartners__sakai_work	AST	No link	8
NoodlePartners__sakai_work	BYTE	No link	622
NoodlePartners__sakai_work	AST	Link	5
NoodlePartners__sakai_work	BYTE	Link	172
Noone-404__eXmessage	AST	No link	87
Noone-404__eXmessage	BYTE	No link	54
Noone-404__eXmessage	AST	Link	57
Noone-404__eXmessage	BYTE	Link	90
Nthdimenzion__DHR	AST	No link	1
Nthdimenzion__DHR	BYTE	No link	1
nvchien1407__slapulse	AST	No link	1
nvchien1407__slapulse	BYTE	No link	1
o3project__odenos	AST	No link	816
o3project__odenos	BYTE	No link	780
o3project__odenos	AST	Link	2008
o3project__odenos	BYTE	Link	2044
oglimmer__lunchy	AST	No link	11
oglimmer__lunchy	BYTE	No link	9
oglimmer__lunchy	BYTE	Link	2
omerozkan__vipera	AST	No link	10
omerozkan__vipera	BYTE	No link	10
omerozkan__vipera	AST	Link	1
omerozkan__vipera	BYTE	Link	1
onap__appc	AST	No link	1023
onap__appc	BYTE	No link	808
onap__appc	AST	Link	759
onap__appc	BYTE	Link	582
onsherguem__tes	AST	No link	1994
onsherguem__tes	BYTE	No link	2538
onsherguem__tes	AST	Link	750
onsherguem__tes	BYTE	Link	108
OpenHFT__Chronicle-Map	AST	No link	227
OpenHFT__Chronicle-Map	AST	Link	15
OpenHMIS__openmrs-module-openhmis.cashier	AST	No link	17
OpenHMIS__openmrs-module-openhmis.cashier	BYTE	No link	17
OpenHMIS__openmrs-module-openhmis.commons	AST	No link	1
OpenHMIS__openmrs-module-openhmis.inventory	BYTE	No link	247
OpenHMIS__openmrs-module-openhmis.inventory	BYTE	Link	3
openmrs__openmrs-core	AST	No link	128
openmrs__openmrs-core	BYTE	No link	83
openmrs__openmrs-core	AST	Link	445
openmrs__openmrs-core	BYTE	Link	528
openmrs__openmrs-module-htmlformentry	AST	No link	45
openmrs__openmrs-module-htmlformentry	BYTE	No link	45
openmrs__openmrs-module-htmlformentry	AST	Link	4
openmrs__openmrs-module-htmlformentry	BYTE	Link	4
openmrs__openmrs-module-radiology	AST	No link	327
openmrs__openmrs-module-radiology	AST	Link	4
openmrs__openmrs-module-webservices.res	AST	No link	683
openmrs__openmrs-module-webservices.res	BYTE	No link	671
openmrs__openmrs-module-webservices.res	AST	Link	12
openmrs__openmrs-module-webservices.res	BYTE	Link	24
OpenNMS__opennms	AST	No link	74
OpenNMS__opennms	BYTE	No link	47
OpenNMS__opennms	AST	Link	6
OpenNMS__opennms	BYTE	Link	13
OpenPOWER-BigData__HDP-HBase	AST	No link	24
OpenPOWER-BigData__HDP-HBase	BYTE	No link	202
OpenPOWER-BigData__HDP-HBase	AST	Link	3
OpenPOWER-BigData__HDP-HBase	BYTE	Link	56
OpenPOWER-BigData__HDP-slider	AST	No link	50
OpenPOWER-BigData__HDP-slider	BYTE	No link	52
OpenPOWER-BigData__HDP-slider	AST	Link	6
OpenPOWER-BigData__HDP-slider	BYTE	Link	4
OpenPOWER-BigData__HDP2.5-hbase	BYTE	No link	4
OpenPOWER-BigData__HDP2.5-slider	AST	No link	51
OpenPOWER-BigData__HDP2.5-slider	BYTE	No link	49
OpenPOWER-BigData__HDP2.5-slider	AST	Link	9
OpenPOWER-BigData__HDP2.5-slider	BYTE	Link	9
opf-labs__planets-suite	AST	No link	2
opf-labs__planets-suite	BYTE	No link	2
ops4j__org.ops4j.pax.loggin	AST	No link	13
ops4j__org.ops4j.pax.loggin	BYTE	No link	13
ops4j__org.ops4j.pax.wicke	AST	No link	28
ops4j__org.ops4j.pax.wicke	BYTE	No link	27
ops4j__org.ops4j.pax.wicke	BYTE	Link	1
Ordineo__social-composite-service	AST	No link	14
Ordineo__social-composite-service	BYTE	No link	14
Ordineo__social-composite-service	AST	Link	15
Ordineo__social-composite-service	BYTE	Link	15
orfjackal__misc-tools	AST	No link	28
orfjackal__misc-tools	BYTE	No link	28
os890__wink2_discuss	AST	No link	36
os890__wink2_discuss	BYTE	No link	35
os890__wink2_discuss	BYTE	Link	1
osama-abouelkhair__smartphone-weather-forcastin	AST	No link	1
osama-abouelkhair__smartphone-weather-forcastin	BYTE	No link	1
oscarceballos__flink-1.3.2	AST	No link	8
oscarceballos__flink-1.3.2	BYTE	No link	240
oscarceballos__flink-1.3.2	BYTE	Link	47
oskariorg__oskari-server	AST	No link	234
oskariorg__oskari-server	AST	Link	60
outermedia__solr-fusion	AST	No link	9
outermedia__solr-fusion	BYTE	No link	9
outermedia__solr-fusion	AST	Link	8
outermedia__solr-fusion	BYTE	Link	8
ow2-chameleon__osgi-testing-helpers	AST	No link	1
ow2-chameleon__osgi-testing-helpers	BYTE	No link	1
ow2-chameleon__osgi-testing-helpers	AST	Link	2
ow2-chameleon__osgi-testing-helpers	BYTE	Link	2
ox-it__saka	AST	No link	281
ox-it__saka	AST	Link	66
oxygenxml__oxygen-git-plugin	AST	No link	10
oxygenxml__oxygen-git-plugin	BYTE	No link	10
oxygenxml__oxygen-git-plugin	AST	Link	8
oxygenxml__oxygen-git-plugin	BYTE	Link	8
p07r0457__ActiveMq-5	AST	No link	8
p07r0457__ActiveMq-5	BYTE	No link	47
p07r0457__ActiveMq-5	BYTE	Link	1
palmer0914__flink	AST	No link	81
palmer0914__flink	BYTE	No link	209
palmer0914__flink	AST	Link	14
palmer0914__flink	BYTE	Link	49
palmer0914__hbase	AST	No link	265
palmer0914__hbase	AST	Link	4
parameshjava__JavaPrograms	AST	No link	19
parameshjava__JavaPrograms	BYTE	No link	15
parameshjava__JavaPrograms	AST	Link	4
parameshjava__JavaPrograms	BYTE	Link	8
ParthB10__OpenMrs	AST	No link	388
ParthB10__OpenMrs	BYTE	No link	347
ParthB10__OpenMrs	AST	Link	73
ParthB10__OpenMrs	BYTE	Link	8
ParthB10__OpenMrs-1	AST	No link	108
pawelczak__jiro	AST	Link	4
pawelczak__solaris	AST	No link	22
pawelczak__solaris	BYTE	No link	13
pawelczak__solaris	AST	Link	23
pawelczak__solaris	BYTE	Link	32
PengchengFang__Hortonworks-Zeppelin	AST	No link	27
PengchengFang__Hortonworks-Zeppelin	BYTE	No link	27
PengchengFang__Hortonworks-Zeppelin	AST	Link	5
PengchengFang__Hortonworks-Zeppelin	BYTE	Link	5
pentaho-nbaker__karaf	AST	No link	42
pentaho-nbaker__karaf	BYTE	No link	42
pentaho-nbaker__karaf	AST	Link	22
pentaho-nbaker__karaf	BYTE	Link	26
pentaho__pentaho-hadoop-shims	AST	No link	97
pentaho__pentaho-hadoop-shims	BYTE	No link	104
pentaho__pentaho-hadoop-shims	AST	Link	110
pentaho__pentaho-hadoop-shims	BYTE	Link	103
pentaho__pentaho-kettle	AST	No link	1468
pentaho__pentaho-kettle	AST	Link	728
pentaho__pentaho-platform-plugin-reportin	AST	No link	214
pentaho__pentaho-platform-plugin-reportin	BYTE	No link	199
pentaho__pentaho-platform-plugin-reportin	AST	Link	220
pentaho__pentaho-platform-plugin-reportin	BYTE	Link	235
personium__personium-core	AST	No link	317
personium__personium-core	BYTE	No link	300
personium__personium-core	AST	Link	184
personium__personium-core	BYTE	Link	201
personium__personium-engine	AST	No link	12
personium__personium-engine	BYTE	No link	12
perwendel__spark	AST	No link	7
perwendel__spark	BYTE	No link	1
perwendel__spark	AST	Link	10
perwendel__spark	BYTE	Link	20
phaidra__fcrepo3	AST	No link	2
phaidra__fcrepo3	BYTE	No link	2
phaidra__fcrepo3	AST	Link	1
phaidra__fcrepo3	BYTE	Link	1
phaniteja07__jenkins	AST	No link	15
phaniteja07__jenkins	BYTE	No link	32
phenopolis__pheno4j	AST	No link	7
phenopolis__pheno4j	AST	Link	3
phoenixnap__springmvc-raml-plugin	AST	No link	114
phoenixnap__springmvc-raml-plugin	AST	Link	28
pholser__junit-quickcheck	AST	No link	255
pholser__junit-quickcheck	AST	Link	71
photon-labs__phresco-pom	AST	No link	32
photon-labs__phresco-pom	BYTE	No link	31
photon-labs__phresco-pom	AST	Link	138
photon-labs__phresco-pom	BYTE	Link	139
phungmanhcuong__oauth2simple	AST	No link	306
phungmanhcuong__oauth2simple	BYTE	No link	306
phungmanhcuong__oauth2simple	AST	Link	27
phungmanhcuong__oauth2simple	BYTE	Link	27
phxql__restwars	AST	No link	5
phxql__restwars	BYTE	No link	5
Pi4J__pi4j	AST	No link	48
Pi4J__pi4j	BYTE	No link	44
Pi4J__pi4j	AST	Link	11
Pi4J__pi4j	BYTE	Link	15
